,0
16/09/2016,5
25/04/2014,5
18/07/2011,5
27/05/2013,5
25/09/2015,5
31/03/2014,5
12/09/2012,5
18/07/2018,5
05/01/2018,5
25/09/2013,5
06/02/2012,5
25/02/2010,5
14/12/2012,5
26/12/2017,5
01/08/2012,5
26/11/2012,5
29/02/2016,4
01/04/2019,4
16/07/2009,4
29/12/2017,4
30/12/2016,4
10/12/2012,4
09/07/2014,4
10/10/2011,4
04/04/2016,4
30/09/2013,4
04/12/2017,4
23/12/2013,4
28/11/2014,4
03/05/2013,4
15/09/2014,4
18/09/2013,4
22/07/2016,4
20/06/2012,4
24/09/2018,4
29/08/2014,4
14/12/2015,4
09/01/2019,4
07/01/2013,4
26/07/2010,4
09/06/2011,4
22/10/2014,4
14/01/2010,4
26/11/2009,4
18/09/2017,4
17/08/2009,4
02/07/2009,4
20/01/2016,4
29/11/2010,4
15/06/2018,4
05/12/2014,4
03/10/2014,4
18/06/2009,4
17/12/2014,4
24/11/2014,4
20/03/2017,4
21/09/2012,4
21/07/2014,4
12/11/2018,4
10/06/2015,4
20/04/2011,4
09/02/2015,4
18/05/2018,4
30/01/2017,4
30/01/2012,4
26/02/2018,4
29/09/2017,4
10/02/2014,4
04/05/2016,4
13/06/2016,4
29/04/2010,4
31/10/2012,4
11/09/2015,4
12/08/2016,4
14/06/2013,4
11/11/2016,4
04/07/2018,4
22/04/2010,4
04/02/2015,4
15/12/2011,4
27/07/2012,4
09/01/2013,4
26/06/2013,4
28/09/2016,4
30/09/2016,4
01/11/2017,4
20/03/2013,4
12/03/2014,4
01/08/2018,4
27/09/2013,4
08/08/2018,4
26/08/2010,4
29/05/2017,4
01/11/2010,4
28/02/2018,4
16/06/2014,4
05/11/2018,4
13/07/2009,4
08/06/2009,4
29/08/2011,4
17/02/2017,4
31/05/2017,4
12/05/2017,4
11/09/2013,4
11/01/2016,4
24/08/2016,4
28/07/2017,4
20/12/2010,4
10/09/2012,4
28/02/2014,4
10/10/2012,4
23/10/2013,4
12/04/2010,4
19/06/2015,4
19/08/2010,4
13/12/2013,4
08/12/2017,4
09/11/2012,4
30/03/2012,4
26/04/2010,4
25/06/2012,4
30/11/2012,4
29/01/2018,4
20/06/2016,4
12/07/2010,4
13/04/2012,4
23/03/2015,4
02/04/2014,4
24/05/2013,4
13/10/2012,4
01/10/2014,4
01/02/2013,4
08/10/2014,4
22/05/2015,4
14/02/2014,4
02/06/2017,4
28/09/2012,4
05/07/2013,4
11/12/2017,4
02/02/2018,4
20/06/2011,4
01/07/2015,4
16/10/2017,4
04/02/2019,4
29/07/2016,4
18/04/2018,4
12/07/2013,4
27/03/2015,4
11/07/2016,4
16/12/2016,4
13/09/2010,4
21/11/2014,4
10/12/2014,4
02/10/2017,4
19/07/2013,4
04/11/2010,4
04/05/2012,4
20/05/2010,4
03/10/2016,4
18/04/2011,4
29/12/2014,4
06/11/2017,4
11/05/2018,4
19/04/2014,4
18/06/2018,4
13/03/2017,4
21/09/2016,4
15/08/2016,4
26/09/2014,4
07/06/2017,4
19/09/2014,4
02/05/2015,4
07/11/2018,4
21/06/2013,4
20/04/2012,4
14/10/2015,4
16/02/2018,4
18/10/2013,4
19/01/2012,4
17/04/2013,4
23/07/2014,4
23/12/2010,4
20/07/2009,4
10/08/2018,4
15/06/2016,4
20/11/2017,4
04/03/2010,4
01/02/2016,4
16/01/2019,4
18/03/2013,4
05/05/2011,4
18/05/2012,3
29/09/2011,3
12/02/2016,3
03/11/2012,3
26/08/2013,3
14/10/2013,3
19/01/2018,3
13/01/2017,3
03/05/2010,3
30/07/2014,3
03/03/2017,3
05/03/2014,3
06/10/2014,3
04/04/2018,3
22/08/2012,3
09/11/2016,3
18/11/2010,3
15/09/2017,3
17/04/2015,3
14/09/2018,3
19/08/2015,3
26/08/2016,3
14/08/2013,3
19/07/2010,3
06/10/2017,3
22/09/2017,3
19/05/2011,3
14/11/2018,3
20/02/2017,3
20/12/2017,3
05/04/2019,3
06/11/2015,3
05/10/2016,3
20/04/2016,3
18/11/2016,3
23/05/2018,3
27/09/2010,3
02/03/2015,3
05/04/2013,3
18/11/2015,3
22/02/2017,3
10/11/2014,3
09/12/2013,3
27/07/2015,3
09/09/2013,3
26/12/2012,3
07/02/2011,3
27/06/2011,3
12/06/2009,3
16/01/2015,3
18/11/2013,3
29/10/2014,3
04/02/2013,3
14/03/2014,3
10/07/2015,3
24/12/2009,3
20/10/2014,3
23/10/2015,3
03/07/2017,3
30/04/2018,3
23/11/2012,3
06/01/2014,3
20/02/2019,3
25/10/2013,3
24/03/2011,3
04/03/2015,3
23/01/2012,3
13/12/2010,3
17/11/2011,3
31/10/2011,3
02/02/2015,3
15/05/2013,3
13/08/2018,3
15/04/2015,3
24/09/2012,3
30/12/2015,3
04/06/2018,3
28/04/2014,3
13/09/2011,3
28/12/2015,3
15/05/2015,3
07/04/2014,3
06/08/2009,3
08/02/2010,3
01/10/2012,3
01/07/2016,3
15/04/2016,3
09/03/2016,3
18/09/2015,3
17/03/2017,3
20/01/2011,3
29/06/2009,3
20/01/2014,3
24/02/2016,3
29/01/2016,3
27/10/2014,3
03/04/2019,3
30/04/2012,3
24/06/2015,3
21/12/2012,3
06/12/2010,3
04/12/2013,3
27/02/2015,3
08/07/2013,3
07/06/2010,3
28/09/2015,3
26/03/2016,3
27/04/2012,3
13/03/2015,3
05/12/2016,3
23/05/2012,3
04/07/2014,3
11/02/2019,3
17/10/2011,3
18/05/2016,3
26/06/2017,3
10/10/2014,3
02/01/2015,3
14/11/2011,3
19/08/2013,3
19/12/2012,3
07/02/2014,3
17/01/2014,3
13/02/2012,3
14/09/2015,3
09/08/2017,3
19/01/2015,3
28/08/2015,3
27/01/2011,3
04/06/2010,3
22/11/2010,3
14/12/2018,3
23/03/2018,3
05/04/2017,3
03/12/2009,3
19/09/2016,3
28/05/2018,3
21/12/2018,3
15/10/2009,3
28/05/2012,3
18/10/2010,3
10/08/2012,3
07/12/2016,3
01/06/2009,3
10/02/2016,3
28/01/2013,3
17/04/2017,3
05/02/2016,3
03/12/2018,3
13/10/2009,3
18/10/2017,3
09/07/2018,3
20/11/2013,3
15/07/2010,3
29/06/2018,3
18/01/2013,3
13/05/2013,3
28/03/2011,3
02/01/2012,3
28/11/2011,3
23/11/2018,3
07/03/2018,3
11/04/2011,3
01/09/2011,3
12/05/2011,3
22/03/2017,3
04/11/2015,3
28/10/2015,3
20/03/2015,3
27/12/2010,3
11/06/2014,3
25/08/2011,3
11/02/2015,3
10/10/2016,3
17/07/2013,3
15/10/2018,3
10/12/2009,3
02/05/2011,3
20/05/2016,3
19/09/2018,3
28/11/2012,3
06/03/2015,3
14/01/2013,3
22/10/2009,3
26/05/2017,3
25/02/2019,3
04/01/2013,3
08/09/2009,3
04/06/2014,3
02/05/2014,3
24/02/2011,3
01/12/2017,3
28/10/2016,3
06/12/2017,3
13/06/2011,3
06/07/2018,3
10/02/2011,3
03/04/2017,3
16/03/2015,3
08/06/2012,3
02/07/2018,3
28/07/2014,3
13/08/2012,3
03/06/2013,3
02/07/2014,3
22/01/2018,3
11/03/2015,3
01/06/2018,3
16/07/2012,3
16/06/2017,3
29/05/2013,3
30/10/2015,2
28/03/2012,2
24/10/2012,2
02/03/2012,2
02/01/2013,2
19/05/2014,2
27/04/2018,2
08/10/2018,2
17/11/2014,2
26/05/2011,2
24/10/2016,2
27/01/2016,2
03/05/2017,2
16/05/2011,2
05/07/2017,2
02/10/2015,2
03/02/2017,2
26/06/2015,2
27/12/2017,2
10/07/2013,2
14/12/2016,2
16/11/2012,2
30/11/2016,2
24/12/2018,2
14/10/2010,2
01/08/2016,2
31/07/2013,2
16/08/2013,2
13/12/2017,2
01/04/2016,2
10/03/2011,2
11/01/2013,2
08/03/2019,2
10/02/2012,2
28/09/2018,2
03/08/2015,2
17/02/2011,2
02/06/2014,2
07/12/2015,2
02/12/2016,2
19/10/2015,2
24/06/2010,2
06/01/2011,2
14/09/2016,2
17/02/2016,2
16/11/2015,2
22/06/2015,2
20/07/2018,2
08/04/2019,2
21/07/2011,2
23/03/2012,2
31/07/2017,2
29/06/2015,2
25/10/2010,2
16/12/2015,2
10/08/2016,2
31/12/2014,2
21/03/2016,2
04/04/2012,2
20/07/2016,2
24/09/2009,2
13/05/2010,2
14/11/2014,2
12/04/2013,2
22/07/2015,2
05/06/2013,2
25/01/2013,2
30/05/2018,2
16/06/2011,2
12/09/2018,2
01/06/2016,2
06/12/2013,2
23/09/2015,2
10/01/2014,2
06/07/2015,2
02/02/2012,2
02/08/2017,2
27/02/2012,2
17/10/2012,2
29/10/2018,2
06/04/2016,2
21/12/2016,2
28/04/2011,2
29/05/2015,2
15/04/2017,2
20/05/2015,2
08/03/2017,2
26/10/2012,2
28/09/2009,2
26/12/2018,2
09/06/2017,2
11/05/2016,2
09/05/2014,2
27/06/2014,2
09/12/2010,2
06/06/2018,2
22/12/2014,2
31/12/2009,2
24/05/2010,2
21/10/2013,2
17/10/2018,2
31/10/2014,2
11/05/2015,2
20/05/2013,2
03/07/2013,2
08/12/2014,2
24/03/2017,2
07/07/2014,2
10/01/2011,2
25/05/2016,2
03/11/2011,2
29/03/2017,2
29/01/2014,2
10/06/2010,2
20/08/2014,2
22/09/2014,2
26/11/2014,2
30/08/2010,2
20/03/2019,2
21/05/2012,2
25/06/2018,2
13/04/2016,2
19/07/2017,2
24/02/2017,2
09/05/2011,2
02/05/2016,2
17/08/2015,2
18/12/2015,2
17/06/2010,2
28/10/2010,2
11/04/2014,2
30/04/2014,2
29/10/2009,2
13/04/2015,2
09/10/2017,2
06/07/2016,2
22/04/2015,2
05/10/2015,2
26/12/2015,2
30/05/2012,2
09/08/2010,2
15/06/2009,2
22/06/2016,2
16/01/2012,2
11/07/2018,2
31/03/2018,2
08/01/2018,2
12/03/2018,2
22/03/2013,2
25/10/2017,2
26/04/2017,2
24/07/2015,2
17/08/2018,2
13/01/2016,2
12/06/2015,2
07/10/2013,2
04/07/2011,2
28/08/2017,2
14/03/2012,2
29/07/2013,2
31/01/2014,2
19/11/2009,2
18/07/2012,2
28/03/2016,2
14/02/2011,2
25/06/2009,2
22/10/2018,2
07/03/2012,2
11/07/2014,2
03/04/2013,2
16/10/2015,2
08/05/2017,2
21/07/2017,2
07/11/2012,2
03/11/2017,2
24/12/2014,2
16/09/2015,2
10/03/2017,2
06/02/2017,2
27/02/2019,2
02/06/2011,2
22/04/2016,2
27/05/2015,2
31/12/2012,2
06/06/2012,2
16/07/2018,2
22/02/2019,2
19/04/2010,2
22/01/2016,2
07/12/2012,2
25/04/2012,2
11/04/2016,2
16/05/2016,2
04/11/2013,2
21/09/2018,2
28/11/2016,2
14/09/2012,2
03/11/2015,2
19/04/2017,2
16/03/2012,2
24/04/2015,2
26/03/2014,2
31/01/2011,2
07/12/2009,2
03/01/2014,2
10/12/2018,2
13/07/2016,2
07/08/2013,2
27/08/2012,2
23/01/2017,2
31/10/2016,2
11/06/2018,2
18/03/2010,2
06/11/2013,2
23/02/2018,2
17/09/2012,2
23/09/2010,2
26/09/2012,2
08/12/2011,2
19/03/2012,2
02/12/2010,2
01/03/2012,2
23/04/2014,2
01/02/2017,2
02/01/2017,2
22/03/2019,2
21/10/2010,2
03/11/2018,2
19/02/2014,2
15/08/2018,2
18/04/2012,2
13/04/2018,2
19/12/2018,2
08/07/2016,2
06/05/2015,2
04/04/2011,2
09/03/2018,2
06/03/2017,2
22/08/2018,2
07/05/2018,2
21/11/2018,2
09/01/2017,2
22/11/2017,2
04/02/2010,2
30/01/2015,2
10/08/2015,2
02/04/2018,2
30/01/2019,2
15/03/2013,2
20/06/2014,2
23/05/2011,2
02/10/2013,2
11/11/2013,2
12/11/2014,2
09/12/2015,2
23/01/2013,2
14/06/2010,2
21/02/2011,2
08/11/2017,2
27/10/2017,2
16/07/2014,2
27/04/2015,2
05/08/2010,2
14/07/2014,2
04/07/2016,2
17/10/2014,2
03/02/2011,2
21/12/2015,2
08/02/2017,2
30/10/2013,2
22/05/2017,2
27/03/2013,2
26/12/2014,2
20/10/2017,2
08/11/2007,1
09/11/2018,1
30/11/2015,1
29/06/2012,1
11/09/2006,1
21/08/2015,1
03/01/2018,1
20/08/2009,1
31/12/2018,1
16/11/2006,1
